  150
   96  7328     7
   87  5117     3
    3  2589     8
   85  7852     4
   46  7296     2
   49  5245     4
    2  3736    10
   36  3239     1
   78  3526     3
   90  2084     8
   57  5447     6
   92  7545     3
   32  1141     7
   47  6020     3
   51  1434     8
   54  2189    10
   14  6360     3
   15  6392     4
   15  5529     6
   47  5872     7
    8  1370     8
   48  3963     4
   33  3059    10
   50  7497     8
    6  1436     5
   51  3630     3
   84   764     1
   96  7918     6
   87  1556     2
   16  3407     3
    2  5332     5
   83  8128     8
    3  7767     6
    5  7164     3
   67  7646     2
   48  6728     7
   54  4075     6
   68  3047     1
   84  1633     7
   31  6844     9
   58  4375     9
   41  6324     3
   23  6055     2
   90  4759     5
   88  4010     5
   74  6733     9
   43  6191     4
    2  2035     8
   89  4790     2
   57  3386     9
   48  7151     4
   96  5404    10
    5  6592     3
   80  1875     4
   46  4566     7
   11  7271     7
   30  4749     6
   29  4574     8
    6  6855     3
   17  5549     7
   44  7224     1
    8  3852     8
   99  5343     5
   46  6656     6
   12  2682    10
   66  4654     7
   94  5050     3
   65  6000     6
   34  6945     8
   77  5927     9
   96  4510     4
   91  2985     6
   17  3916     1
   19  2231     6
   80  6988     1
    4  7170     6
   93  8207     4
   23  4844     4
    5   870     3
   81  4663     6
   79  7473     3
   53  7265     7
   76  1733     5
   84  5730     6
   32   805    10
   21  5543     2
   94  4667     3
   62  4797     6
   50  1782    10
   99  3187     6
   78  2011     3
   93  8249    10
    7  6282     3
   77  6598     8
   39  6571     6
   18  8208     2
   43  2917     4
   33  3287     8
   83  5873     7
   76  1528     1
   10   879     6
   79  2049     1
   67  3756     6
   27  4039     7
   97  3523     6
   47  2409     6
   31  2874     2
   90  3396    10
   69  6497    10
   36  2988     5
   70  7302     6
   48  5636     3
   88  1918     1
   45  8278     1
   31  3032     9
   19  1967    10
   66  5486     2
   24  6942     1
   81  6007     6
   15  6512     2
   23  1795     6
   59  7262     8
    7  6427     2
   29  7321     8
   36  5525     5
   46  4663     7
   47  7194    10
   78  7686     8
   79  7194     4
   30  4733     7
   54   879     9
   88  7317    10
    8  6025     7
   20  3879     4
   14  3021     7
    5  1214     3
   66  5532    10
   45  5139     9
   94  3853     2
   34  3694    10
   80  7371     3
   63  2821     8
   81   996     2
   67   954     3
    8  2765     8
   12  3271    10
   86  2165     2
   73  7495     9
   35  1878     1
   66  7415     8
