 200
   79  6058    10
   50  5720     5
   78  9703     9
    9  2814     9
   20  1369     9
   49  2178     3
   17  5007     7
   85  9519     2
   86  3813     1
   88  3495     5
   74  7680     1
    9  3800     1
   54  3407     4
   98  5810     2
   94  4969     8
   31 10357     7
   30  1781     3
   54  3519     5
   29  9221     7
   36 10928     3
    4  9533     8
    2 11035     3
   18  6677     4
   96  4999     9
   28  8802    10
   39  1792     6
   97  6035     7
   15  7494     1
    2  8522    10
   80  3895     5
   28  1915     8
   81  3026    10
   30  8565     9
    6 10569     6
   89  4790     9
   49  8884     7
   54  1194     9
    6  8748     6
   33  6850     8
   39  3957    10
   93 11194    10
    7  2976     8
   48  6708     1
   46  3048     4
    4  7737    10
   41 10627     9
   77  1852    10
   34  8468     3
   95  2592     3
    6 10023     6
   69  7842     5
   98 11076     1
    7  9504     9
   87  2965     8
   93  4522     9
   35  6752     8
   26  3708     4
   90  9508     6
   49  2693     9
   28 11180     3
   69  1849    10
   77  3558     6
    8  2652     3
   98  9364     9
   82  2574     2
   96  6393     1
   47  6694     5
   35  2718     1
    1  3588     6
   80  1990     3
   74  5625    10
   93  3228     6
   86  3917    10
   21 11284     1
   39  5227     9
   90 10604    10
   62 10357     9
   16  6029     8
   23  7519     2
   57  1396     2
   21  4498     4
   92  3808     7
   54 11423     2
   27  2449     2
   78  5723     5
   47  4391     1
   61  8152    10
    3  8381     8
   36  2345     7
    9  9795     8
   30  8008     1
    5  3144     6
   85  1800     3
   37  9611     3
    3 11458     4
   67  3324     5
   33  4451     4
   50  6599     9
    2  4992     5
   33  6989     9
   29  7540     1
   75  9568     5
   25  9168     4
   14 10407     1
   96  9298     5
   64  2841     2
    4  9458     1
   57  8102     4
   79  7820    10
   26  5424     2
   13  8448     5
   99 11269     3
   17  8182     9
   67  8318     7
   26  2165     5
   95  2351     3
   13  1155     8
   86  9267     4
   98  9683     1
   49  2451     4
   95  7509     1
   27  6138     1
   54  4546    10
   80  8259     4
   64  4195     4
   57  4450     4
   46 10534     8
   96  7596     7
    6 10000     2
   48  3973     2
   29  3031     6
   34  5986     3
   22  1988     6
   54 11150     9
   48  4840     4
   17 10236     1
   17  2437     1
   51  2745     4
   74  6785     4
   96  9208     1
   77  7119     6
   86  3680     8
   94  8924     3
   93  3747     4
   52 10948     5
   20 10039     8
   88  5049     7
   65 11054     2
    5  7753     1
   85  3179     7
   14  1951     5
  100  3708     1
   12  8267     8
   67  5447     5
   80 10917     5
   76 11413     2
   24  8848     8
   26  9898     2
   72  7455     9
   29  7295    10
   73  2317     3
  100  9437     4
   62  1728     2
   94  3255     9
   54  9033     3
    9  5518     5
   11  1938     9
   70 10421     3
   60  7214     9
   84  7673     3
   65  8076     3
   36  2780     4
   70 10304     1
   59  5446     6
   29  5478     8
   21  9698     5
   78  3932     3
   16  9477     5
   86  9199     7
   83 10635     3
  100  1103     2
  100 10100     2
   83  2789     4
   12  8321    10
   67  3994     6
   62  2153     8
   87  8180     1
   90  1289     3
   88 11001    10
   58  4082     9
   18  7535     2
   60  1765     3
   57  1965     3
   79  8213     4
   54  3970     1
   10  9949     5
   88  2178     9
   65  4858    10
   80  8817     8
   47  8342     7
