  150
   65  1643     7
   14  2044     4
   23   951     2
   43  1965    10
   77   148     6
   46   507     3
   35  2192    10
   62  1217     4
   32  1886     3
   97  1546     8
   77   729     2
   76  3214     1
   86  1079     8
   59  1188     8
   28  2353     2
   97  2900     3
   79  1504     4
   79  2972     1
   14  2272     2
   20  1180     6
   19  1326     5
   57     0     6
   38  2878     6
   78  3055     6
   86  3059    10
   89  3190     2
   70  2100     4
   99  2905     1
   54  1720     8
    4  3142     4
   15  1304     9
   19    88     5
   18  1911     7
   38  2255     1
   61  2054     4
   94  2060     3
   83  2763     3
   96   972     3
   56     2     6
   15  1374     6
   92  2518     1
   33   732     8
   91  1314     6
   78   323     8
   92  1920     5
   19   392     8
   74  3224    10
   70   150     9
   97    90     9
   87  2222     2
   89  1330     4
   15  1416     3
   43  2223     8
   27   933     9
   92  1197     9
   28  2008     8
   15   849     1
   62    23     3
   27  1638     9
   69  2569     9
   66  3165     7
   42  2943     7
   87  2658     3
   83  1802     4
   80  1924     7
   48  1438     6
   77   587     6
   62  1412    10
   43  2410     8
   33   590     2
   77  2787     5
   35  1654     8
   65  1322     9
   67   827     1
   13  1978     6
   56  3243     3
   85  1220     8
   86  1927     6
   25   118     1
   82  1310     6
   73   875     8
   13  1449     5
   96  2727     9
   15  3098     5
   40  2383     3
   88   649     8
   43  1831     2
   54  3232     4
   50   673    10
   70   195     1
   23  2527     2
   15   563     7
   12  3138     7
    9  1910     4
   98  2366    10
   91  1788     4
   56    73     9
   74  2953     6
   53  3201     3
   99  2483     7
    6   268     8
   29  2714     7
   34   862     5
   70  1591     6
   96   266     8
   46  2840     1
   26  1560     9
   81  1487     5
   31  1493     6
   50  1679    10
   62  2798     1
    4  2369     4
   63  3128     4
   58  2250    10
   19  2192     8
    2  2237     7
   46  2900     7
   61   749    10
   56  2194    10
   96   299     7
   31   944    10
   78  1446     2
   10   863     3
   43   808     7
   87    82     5
    7  3229     3
   33  2597    10
   43   155     4
   81  2907     9
   86  2523     3
   41  2639    10
   86  3176     6
   15  1962     9
   74   227     5
   56  1493     2
   10  2229     7
   19  3068     5
   81  3053    10
   91   441     1
   50  1287     1
   31  1457    10
   52  3239     2
   53   381     4
   94  1311     4
   10  2215     1
   71  2573     2
   96   273    10
   56  1841     7
   32    48     1
   52  2468    10
