  150
   79  2239    10
   22  3351     2
   94  2375     7
   32  2311     5
   47  2704     9
   66  2703     7
   47  3411    10
   21  2385     6
   29  3063     8
   25  3057     7
   78  2532     7
   15  2303     8
   12  2248     1
   50  3173     4
   39  2831     5
   15  2244     3
   35  2992     7
   86  3542     6
   60  2385     6
   23  2782    10
   74  2919     3
   73  3480     4
   86  2339     8
   45  2786     4
   55  2344    10
    3  2989     7
   35  3564     3
   86  3171     5
   66  2438     2
   52  3610     6
    5  3104     5
   45  2509     2
   73  3346     8
   99  3311     2
   76  2652     6
   20  2435     6
   64  2398     9
   22  2447     6
   41  2651     2
   93  3292     6
   46  3335     3
   18  3015     8
    8  3427     3
   58  3415     3
   68  2572     2
   46  2642     8
   72  3491     5
    2  3396     9
   32  2568     3
   31  2261     1
   25  2562     8
    6  3319     6
    3  3572     4
   10  2733     6
   51  2489     9
   58  2300     4
   13  3554     2
   85  2437     2
   43  3303     8
   79  2377     4
   37  2432     7
   48  2791     3
   23  2717     5
    9  3609     5
   46  2486     5
   99  3200     1
   29  2428    10
   10  2716     3
   21  3478     6
   70  2911     1
    2  2392     8
   67  3198     8
   88  2310     9
   10  2204    10
   24  2997     1
   55  2713     1
   55  2677     8
   96  2873     5
   56  2494     9
   87  3077     1
   27  2965     6
   80  2887     6
   92  2780     6
   30  2922    10
   90  3451     2
   42  3101     5
   87  3054     3
    3  3389     4
   26  3370     6
   30  2741     1
   81  3597     7
   63  2186     2
   77  3364     4
    4  2699     2
   71  2179     6
   23  2234     8
    3  2283     2
  100  2439     6
   33  2781    10
   23  3593     8
   69  3181     7
   35  3005     7
   89  3176     6
   56  3323     6
   44  3040     7
   13  2558     6
   11  2421     6
   98  3549     5
    8  3262     1
   66  2746     4
   85  3011     5
   34  2612     7
   46  3464    10
   76  2175    10
   63  3365     6
   36  3300     2
   17  3107     4
   50  2803     9
   39  3074     6
   43  2861     9
   79  3375     9
   19  3056     2
    6  2879     1
   56  3123     3
   23  3586     4
   76  2890     7
   78  3189    10
   25  2254     5
   76  3160     3
   11  2355     9
   48  2232     3
   45  2726    10
   45  3191     6
   37  3239     9
  100  2434     5
   88  2616     3
   50  2181     4
   10  2686     1
   86  2550     7
   57  3275     5
   76  3263     5
   70  3392     1
   91  2271     2
   22  3111     5
   45  3399    10
   54  3467     7
   58  2795     6
   62  2891     4
    4  2655     5
   96  2253     1
