 300
569 130512 5
226 105358 8
314 116263 2
259 101505 4
72 141510 5
172 146698 7
373 131756 6
380 101175 1
973 150046 9
803 134135 2
807 153950 7
998 122757 10
236 129777 2
724 150830 1
248 130021 7
606 155088 1
176 118672 1
96 110082 6
987 109387 4
929 154925 9
963 102765 8
597 117099 10
936 105820 9
237 153652 7
501 122663 9
734 125949 4
1003 115079 6
421 98367 10
724 130807 6
33 113314 10
212 126972 6
279 104333 10
259 124485 8
510 149065 7
518 111665 3
322 109012 2
678 138770 3
889 149234 9
697 116007 3
645 131840 1
687 126397 10
497 112980 10
639 97629 1
907 99186 2
214 106838 10
867 133478 7
508 97294 2
383 131326 1
942 149384 3
477 112490 6
294 129272 10
902 95168 10
66 135407 5
224 140917 8
131 154634 7
557 101091 3
958 109872 2
121 112736 2
975 105276 3
664 146507 7
159 131860 2
177 138079 8
930 156653 7
395 99374 9
677 130166 5
445 111340 10
703 114206 1
345 111964 8
328 103590 8
390 136032 4
989 149638 8
995 135810 8
887 154840 3
608 153078 9
898 140815 9
88 104692 3
451 129571 5
393 143928 10
452 141841 4
394 121982 8
866 99446 6
740 114138 4
284 122965 7
913 140676 1
951 98071 1
406 120621 4
467 147586 4
898 113774 2
520 139183 5
426 95881 6
553 103298 9
663 114077 6
586 139780 3
482 102974 5
52 119267 5
251 112962 8
910 120132 5
755 139291 5
584 130741 5
232 129550 2
143 118351 9
553 123396 3
223 108386 9
19 116218 2
159 119493 1
115 155021 7
86 126736 4
594 154895 6
495 141973 7
539 111591 8
988 119890 3
345 147240 3
262 131554 1
266 148686 10
253 130936 3
204 135452 2
658 112337 3
702 121545 6
91 155048 4
175 94534 7
116 123258 1
645 101364 2
834 114425 3
691 106054 4
117 110154 7
877 139516 7
936 124840 1
29 136112 2
628 121821 2
518 98606 6
248 108687 3
764 145991 10
62 127820 8
457 122891 1
768 105237 1
209 153146 8
568 120939 8
846 137783 5
791 151051 3
47 105931 5
367 155208 3
760 113967 5
384 96194 7
612 129786 4
11 105674 5
622 132951 9
812 108254 5
660 123824 7
311 97511 5
906 106328 9
830 124188 3
421 126580 5
531 113505 1
653 144425 6
107 138465 9
634 129477 8
522 126969 3
25 106334 10
642 108616 9
141 154606 4
535 110756 5
881 123117 1
893 143626 4
586 144406 2
338 151828 2
649 154682 4
771 140564 10
887 115780 10
488 135489 9
569 134643 2
927 127545 4
845 133718 1
319 154437 7
295 129552 1
440 106519 5
325 103125 1
902 105527 9
256 120597 10
980 132776 8
211 108861 3
148 132738 8
805 99972 1
624 141272 8
676 152059 8
454 150220 6
712 122769 7
292 124557 5
972 120208 8
736 134918 6
934 138982 4
102 117837 1
252 151490 1
812 105122 5
982 104487 4
825 138917 2
137 99973 6
626 102183 8
590 122504 2
1009 121578 6
100 143490 7
141 100164 3
929 154935 9
939 120229 7
452 97614 10
207 127517 10
372 132567 1
768 106562 1
95 138869 9
617 96171 10
749 145156 8
305 153544 2
751 134735 8
549 150948 8
917 137842 9
423 129802 6
999 144196 3
622 103624 6
716 97389 1
953 107419 1
345 144353 1
630 142187 4
45 131079 2
580 138869 1
430 153122 8
22 141374 6
400 120797 3
568 96118 4
642 149379 3
993 149123 4
566 123510 9
734 135891 9
126 155108 7
473 121478 8
658 99139 6
560 95744 7
669 154817 7
26 137526 7
321 108137 7
750 136698 5
639 139513 7
66 96301 5
45 133260 6
373 117262 4
595 153072 2
955 114124 5
790 152892 10
571 140289 5
567 123562 10
492 156099 10
520 153512 6
901 110931 1
116 141306 3
567 127600 7
489 155628 2
544 137450 10
570 112001 2
879 119432 4
98 139390 3
211 104399 5
869 111587 8
651 105934 2
938 146119 4
975 109712 5
119 133238 9
589 151062 10
537 111272 1
762 131065 5
590 131601 6
851 125222 8
518 110771 10
217 114143 3
906 127356 2
545 149864 6
581 137230 7
493 123447 4
496 107007 1
368 133153 6
64 106749 9
48 136391 10
858 132278 5
573 103288 4
948 153145 1
966 116590 7
122 136714 10
416 151780 2
491 97075 7
694 154537 2
288 114242 6
588 142282 10
894 101956 6
139 131658 3
227 154045 1
823 153883 10
91 147188 7
331 130290 9
393 147974 9
620 101487 8
83 104374 4
989 122601 4
469 132527 6
